id,isConfirmed,numberOfSmsTrials
1,False,1
2,False,0
3,False,2
4,True,5
5,True,1
6,False,4
7,False,5
8,False,1
9,False,0
10,True,2
11,True,4
12,False,2
13,True,4
14,False,4
15,False,3
16,False,3
17,False,0
18,True,3
19,True,5
20,False,3
21,False,2
22,True,3
23,False,1
24,False,0
25,True,1
26,True,0
27,False,2
28,False,0
29,False,5
30,False,3
31,False,1
32,False,2
33,True,1
34,True,4
35,False,5
36,True,2
37,True,2
38,True,5
39,True,0
40,False,3
41,True,2
42,True,3
43,True,5
44,False,2
45,False,4
46,False,4
47,True,2
48,False,5
49,True,2
50,False,1
51,False,2
52,False,2
53,False,0
54,True,3
55,False,4
56,False,5
57,False,5
58,False,5
59,False,5
60,True,4
61,False,0
62,True,1
63,True,1
64,False,5
65,True,0
66,True,1
67,False,5
68,True,0
69,False,3
70,False,1
71,True,0
72,False,5
73,False,5
74,False,1
75,True,5
76,True,0
77,True,2
78,True,4
79,False,4
80,True,4
81,True,4
82,False,0
83,True,4
84,True,5
85,False,2
86,True,3
87,True,0
88,True,5
89,False,4
90,True,0
91,False,1
92,True,3
93,True,4
94,True,2
95,False,3
96,True,4
97,True,3
98,True,2
99,True,5
100,False,1
101,False,1
102,False,3
103,False,4
104,False,2
105,True,0
106,False,3
107,False,2
108,False,2
109,True,0
110,False,0
111,False,0
112,False,5
113,True,4
114,False,3
115,False,1
116,True,4
117,True,5
118,True,0
119,True,0
120,False,4
121,False,4
122,False,2
123,False,0
124,True,2
125,False,1
126,True,5
127,True,2
128,True,0
129,True,2
130,True,0
131,True,3
132,False,4
133,True,4
134,False,2
135,True,2
136,False,3
137,False,4
138,True,1
139,True,0
140,True,2
141,True,1
142,True,3
143,False,2
144,False,0
145,False,0
146,False,2
147,False,4
148,True,4
149,False,2
150,True,1
151,True,1
152,True,1
153,False,1
154,True,5
155,True,2
156,False,1
157,False,4
158,True,1
159,True,0
160,True,0
161,False,5
162,True,4
163,False,5
164,True,0
165,True,4
166,True,1
167,False,5
168,True,1
169,False,0
170,True,4
171,False,2
172,False,1
173,False,5
174,False,5
175,False,0
176,False,0
177,False,0
178,True,3
179,True,2
180,False,2
181,False,4
182,False,4
183,False,3
184,True,0
185,False,3
186,True,3
187,False,3
188,False,5
189,False,0
190,True,4
191,True,2
192,True,1
193,True,4
194,False,5
195,False,4
196,True,4
197,False,4
198,False,5
199,True,4
200,True,2
201,False,1
202,False,2
203,False,5
204,True,3
205,False,4
206,False,1
207,True,3
208,True,5
209,False,2
210,False,1
211,False,2
212,True,2
213,False,3
214,False,0
215,True,2
216,True,0
217,True,4
218,True,5
219,True,0
220,False,0
221,True,2
222,False,4
223,False,3
224,False,2
225,True,2
226,False,4
227,True,2
228,True,4
229,False,5
230,False,0
231,False,0
232,True,3
233,False,3
234,True,5
235,True,4
236,False,3
237,False,4
238,False,3
239,True,1
240,True,3
241,True,2
242,False,5
243,True,4
244,False,3
245,False,2
246,False,0
247,False,5
248,False,4
249,True,3
250,True,0
251,False,2
252,False,3
253,False,0
254,False,0
255,True,0
256,False,0
257,True,4
258,True,3
259,True,0
260,False,2
261,False,3
262,True,5
263,False,1
264,True,1
265,False,0
266,True,0
267,False,5
268,False,2
269,False,4
270,True,4
271,True,5
272,False,2
273,False,0
274,True,2
275,False,1
276,True,3
277,False,5
278,False,4
279,False,5
280,False,0
281,True,5
282,True,5
283,True,2
284,False,0
285,False,3
286,True,4
287,True,2
288,True,1
289,False,3
290,False,4
291,True,2
292,True,5
293,False,5
294,False,0
295,True,0
296,False,1
297,False,3
298,False,4
299,True,5
300,False,1
